timestamp,solar_power,wind_power,battery_soc,load_demand,grid_power,temperature,ems_action
2026-05-01 00:00:00,0.0,3.46,50.0,25.14,21.68,15.4,GRID_FALLBACK
2026-05-01 00:05:00,0.0,5.7,50.0,26.53,20.83,16.31,GRID_FALLBACK
2026-05-01 00:10:00,0.0,2.98,50.0,23.87,20.89,15.73,GRID_FALLBACK
2026-05-01 00:15:00,0.0,2.53,50.0,26.53,24.0,15.88,GRID_FALLBACK
2026-05-01 00:20:00,0.0,1.41,50.0,22.44,21.03,16.21,GRID_FALLBACK
2026-05-01 00:25:00,0.0,2.03,50.0,24.65,22.62,15.37,GRID_FALLBACK
2026-05-01 00:30:00,0.0,0.43,50.0,22.67,22.24,14.76,GRID_FALLBACK
2026-05-01 00:35:00,0.0,0.49,50.0,25.03,24.53,15.92,GRID_FALLBACK
2026-05-01 00:40:00,0.0,0.73,50.0,25.05,24.33,15.06,GRID_FALLBACK
2026-05-01 00:45:00,0.0,0.46,50.0,23.78,23.32,15.03,GRID_FALLBACK
2026-05-01 00:50:00,0.0,4.8,50.0,23.85,19.06,15.76,GRID_FALLBACK
2026-05-01 00:55:00,0.0,11.91,50.0,26.13,14.23,15.54,GRID_FALLBACK
2026-05-01 01:00:00,0.0,3.73,50.0,25.81,22.08,15.89,GRID_FALLBACK
2026-05-01 01:05:00,0.0,9.39,50.0,27.17,17.78,15.53,GRID_FALLBACK
2026-05-01 01:10:00,0.0,1.81,50.0,25.59,23.78,14.27,GRID_FALLBACK
2026-05-01 01:15:00,0.0,12.71,50.0,22.34,9.63,14.85,GRID_FALLBACK
2026-05-01 01:20:00,0.0,3.24,50.0,24.13,20.9,15.27,GRID_FALLBACK
2026-05-01 01:25:00,0.0,15.76,50.0,27.25,11.49,14.64,GRID_FALLBACK
2026-05-01 01:30:00,0.0,1.26,50.0,25.29,24.04,14.25,GRID_FALLBACK
2026-05-01 01:35:00,0.0,1.62,50.0,26.96,25.34,13.91,GRID_FALLBACK
2026-05-01 01:40:00,0.0,12.43,50.0,22.82,10.4,14.93,GRID_FALLBACK
2026-05-01 01:45:00,0.0,5.5,50.0,24.45,18.95,14.68,GRID_FALLBACK
2026-05-01 01:50:00,0.0,12.66,50.0,27.23,14.58,14.59,GRID_FALLBACK
2026-05-01 01:55:00,0.0,18.04,50.0,23.36,5.32,14.35,GRID_FALLBACK
2026-05-01 02:00:00,0.0,10.89,50.0,22.64,11.75,13.28,GRID_FALLBACK
2026-05-01 02:05:00,0.0,16.42,50.0,25.78,9.36,14.62,GRID_FALLBACK
2026-05-01 02:10:00,0.0,5.99,50.0,23.73,17.74,13.43,GRID_FALLBACK
2026-05-01 02:15:00,0.0,20.64,50.0,25.45,4.81,13.99,GRID_FALLBACK
2026-05-01 02:20:00,0.0,20.58,50.0,23.77,3.19,14.95,GRID_FALLBACK
2026-05-01 02:25:00,0.0,22.58,50.0,23.52,0.94,13.61,GRID_FALLBACK
2026-05-01 02:30:00,0.0,3.38,50.0,25.07,21.69,13.14,GRID_FALLBACK
2026-05-01 02:35:00,0.0,3.27,50.0,27.49,24.22,14.97,GRID_FALLBACK
2026-05-01 02:40:00,0.0,5.11,50.0,26.8,21.69,13.25,GRID_FALLBACK
2026-05-01 02:45:00,0.0,30.07,50.32,22.02,-0.0,13.23,RENEWABLE_CHARGE
2026-05-01 02:50:00,0.0,20.12,50.32,25.44,5.32,14.32,GRID_FALLBACK
2026-05-01 02:55:00,0.0,32.1,50.57,25.69,-0.0,13.94,RENEWABLE_CHARGE
2026-05-01 03:00:00,0.0,24.31,50.59,23.97,-0.0,14.12,RENEWABLE_CHARGE
2026-05-01 03:05:00,0.0,18.46,50.59,26.57,8.11,14.6,GRID_FALLBACK
2026-05-01 03:10:00,0.0,5.31,50.59,23.13,17.83,13.96,GRID_FALLBACK
2026-05-01 03:15:00,0.0,23.67,50.59,23.78,0.11,14.28,GRID_FALLBACK
